codigo,area
JRH0,Sistemas de potencia para pequeños satélites
JRH0,Sistemas ciberfísicos a la medida orientados a necesidades específicas de usuarios o comunidades
JRH0,Sistemas de instrumentación hechos a la medida
JRH0,Caracterizadores de baterías
JRH1,Custom-made cyber-physical systems oriented to specific user or community needs
JRH1,Custom-made instrumentation systems
JRH1,Battery characterization and modeling
JRH1,Satellite power systems
