codigo,empresa,puesto,inicio,fin,descripcion
JRH0,Hotel Crowne Plaza,Gerente de Mantenimiento,01/02/2013,01/06/2013,Administración de inversiones y mantenimiento
JRH0,Corporación Musmanni,Ingeniero de Proyectos,01/04/2012,01/12/2012,Remodelación de edificios y coordinación de permisos
JRH0,Walmart México y Centroamérica,Coordinador de instalaciones electromecánicas,01/12/2008,01/03/2012,Coordinación de instalaciones electromecánicas en proyectos de construcción
JRH1,Crowne Plaza Hotel,Maintenance Manager,01/02/2013,01/06/2013,Facilities management and investments
JRH1,Musmanni Corporation,Project Engineer,01/04/2012,01/12/2012,Facilities remodeling and construction
JRH1,Walmart,Electromechanical Instalations Engineer,01/12/2008,01/03/2012,Electromechanical installations coordination in construction projects
