codigo,empresa,puesto,inicio,fin,descripcion
ENG01,Tecnológico de Costa Rica,Researcher and Professor,01/02/2014,present,"Teaching subjects such as Electricity, Electrical Control, and Instrumentation, and conducting research in cyber-physical systems, satellite power systems, and instrumentation"
ENG01,Crowne Plaza Hotel,Maintenance Manager,01/02/2013,01/06/2013,Maintenance and investments management
ENG01,Musmanni Corporation,Project Engineer,01/04/2012,01/12/2012,Facilities remodeling and permits coordination
ENG01,Walmart,Electromechanical Instalations Engineer,01/12/2008,01/03/2012,Coordination of electromechanical installations in construction projects
SPA01,Tecnológico de Costa Rica,Investigador y Profesor,01/02/2014,presente,"Impartición de cursos como Electricidad, Control Eléctrico e Instrumentación, y desarrollo de investigación en sistemas ciberfísicos, sistemas de potencia satelital e instrumentación"
SPA01,Hotel Crowne Plaza,Gerente de Mantenimiento,01/02/2013,01/06/2013,"Gestión de mantenimiento e inversiones"
SPA01,Corporación Musmanni,Ingeniero de Proyectos,01/04/2012,01/12/2012,"Remodelación de instalaciones y coordinación de permisos"
SPA01,Walmart,Ingeniero de Instalaciones Electromecánicas,01/12/2008,01/03/2012,"Coordinación de instalaciones electromecánicas en proyectos de construcción"
