codigo,grado,campo,institucion,pais,año
ENG01,Bachelor,Electromechanical Engineering,Instituto Tecnológico de Costa Rica,Costa Rica,2008
ENG01,Master,Electronics Engineering with emphasis on MEMS,Instituto Tecnológico de Costa Rica,Costa Rica,2016
ENG01,Doctor,Applied science for systems integration engineering,Kyushu Institute of Technology,Japan,2020
SPA01,Licenciado,Ingeniería Electromecánica,Instituto Tecnológico de Costa Rica,Costa Rica,2008
SPA01,Master Scientiae,Ingeniería Electrónica con énfasis en Microsistemas,Instituto Tecnológico de Costa Rica,Costa Rica,2016
SPA01,Doctor,Ciencia Aplicada a la Ingeniería de Integración de Sistemas,Kyushu Institute of Technology,Japan,2020
