codigo,codCurso,curso
JRH0,MI2205,Electricidad I
JRH0,MI2202,Laboratorio de Electricidad I 
JRH0,MI4210,Laboratorio de Control Eléctrico
JRH0,IF3502,Instrumentación I
JRH0,IF3503,Instrumentación II
