codigo,titulo,motivo
JRH0,A Digitally Controlled Bi-Directional DC-DC Converter for Nanosatellite Power Systems,sin_coincidencia
JRH0,Development of a charger/discharger system for electrochemical cell screening and testing,sin_coincidencia
JRH0,Proposal for a Modular Electrical Power System for Nanosatellites,sin_coincidencia
JRH0,Jaguar Monitoring Store-and-Forward Satellite: JaguarSAT,sin_coincidencia
JRH0,Proposal for a Modular Electrical Power System For Nanosatellites,sin_coincidencia
JRH0,Testing and operations of a store and forward CubeSat for environmental monitoring of Costa Rica,sin_coincidencia
JRH0,Project Irazú: Advances of a store &amp; forward CubeSat mission for environmental monitoring in Costa Rica,sin_coincidencia
