codigo,categoria,fecha
JRH0,Profesor Instructor,03/02/2014
JRH0,Medio Profesor Adjunto,01/17/2016
JRH0,Profesor Adjunto,25/10/2019
JRH0,Intermedio Profesor Asociado,02/11/2021
JRH0,Profesor Asociado,02/02/2022
JRH0,Intermedio Profesor Catedrático,03/03/2025
